Id;name
1;SEDE CENTRAL
2;CENTRO NACIONAL DE SALUD RENAL
3;INSTITUTO NACIONAL CARDIOVASCULAR
4;RED ASISTENCIAL AMAZONAS
5;RED ASISTENCIAL ANCASH              
6;RED ASISTENCIAL APURÍMAC            
7;RED ASISTENCIAL AREQUIPA
8;RED ASISTENCIAL AYACUCHO            
9;RED ASISTENCIAL CAJAMARCA           
10;RED ASISTENCIAL CUSCO              
11;RED ASISTENCIAL  HUANCAVELICA        
12;RED ASISTENCIAL HUÁNUCO             
13;RED ASISTENCIAL HUARAZ        
14;RED ASISTENCIAL ICA                 
15;RED ASISTENCIAL JUNÍN               
16;RED ASISTENCIAL LA LIBERTAD        
17;RED PRESTACIONAL LAMBAYEQUE          
18;RED ASISTENCIAL JAEN    
19;RED PRESTACIONAL REBAGLIATI
20;RED PRESTACIONAL ALMENARA
21;RED PRESTACIONAL SABOGAL
22;RED ASISTENCIAL LORETO              
23;RED ASISTENCIAL MADRE DE DIOS      
24;RED ASISTENCIAL MOQUEGUA           
25;RED ASISTENCIAL PASCO               
26;RED ASISTENCIAL PIURA              
27;RED ASISTENCIAL PUNO               
28;RED ASISTENCIAL JULIACA              
29;RED ASISTENCIAL MOYOBAMBA     
30;RED ASISTENCIAL TARAPOTO    
31;RED ASISTENCIAL TACNA               
32;RED ASISTENCIAL TUMBES              
33;RED ASISTENCIAL UCAYALI             
